ID,First Author,Other Authors,Last Author,Title,Publish Year,Journal,DOI/PMID/Link,Abstract,Rank,Model,Primary Topic,Secondary Topic,Tertiary Topic,Vehicle,pH,Application,Comparison,Complement,Country,,,,,,,,,,,,,,,,,,,,,,,,
1037,"Tanaka, Yoshinori","Kiuchi, Masataka; Higashimura, Yasuki; Naito, Yuji","Koyama, Katsuhiro",The effects of ingestion of hydrogen-dissolved alkaline electrolyzed water on stool consistency and gut microbiota: a double-blind randomized trial ,2021,Medical Gas Research,10.4103/2045-9912.318858,"A relationship between Bifidobacterium and defecation has previously been reported. Our hypothesis on the effectiveness of alkaline electrolyzed water (AEW) proposes that ingestion of AEW, considered possessing antioxidative properties, increases the number of Bifidobacteria and improves stool hardness and gastrointestinal symptoms. A double-blind, randomized study was conducted to evaluate the connection between stool consistency and change in gut microbiota composition induced by drinking hydrogen-dissolved AEW. The participants drank 500 mL of purified tap water or AEW every day for 2 weeks. In this study, drinking AEW did not drastically change gut microbiota, but it appeared to act on a specific bacterial species. Drinking AEW was confirmed to cause an increase in Bifidobacterium. The AEW group also saw stool consistency significantly converge to Bristol stool scale Type 4 ('normal'). Therefore, it is highly likely that the gut microbiota will be changed by drinking AEW. This study was retrospectively registered in University Hospital Medical Information Network (UMIN) Clinical Trials Registry (UMIN ID: UMIN000039507) on February 18, 2020, and was approved by the Ethics Committee of University of Yamanashi (approval No. H30-25) on January 9, 2018. ",Positive,Human,Intestine,Indigestion,Gut Microbiome,Water (Electrolysis),Alkaline,Ingestion,,,Japan,,,,,,,,,,,,,,,,,,,,,,,,
1044,"Ostojic, Sergej M.","Korovljev, Darinka; Stajer, Valdemar","Javorac, Dejan",Abstract 225: 28-Days Hydrogen-Rich Water Supplementation Affects Exercise Capacity in Mid-Age Overweight Women,2018,Medicine and Science in Sports and Exercise,10.1249/01.mss.0000538402.25953.d2,No abstract available,Positive,Human,Whole Body,Excercise,Performance Enhancement,Water (Mg-Chemico),Alkaline,Ingestion,,,Serbia,,,,,,,,,,,,,,,,,,,,,,,,
1045,"Shibayama, Yudai","Takeuchi, Kaito; Dobashi, Shohei","Koyama, Katsuhiro",Abstract 203: Hydrogen-rich Water Modulates Redox Status Repeated Three Consecutive Days Of Strenuous Exercise,2017,Medicine and Science in Sports and Exercise,10.1249/01.mss.0000519562.97355.a8,No abstract available,Positive,Human,Whole Body,Excercise,Performance Enhancement,Water (Mg-Chemico),Alkaline,Ingestion,,,Japan,,,,,,,,,,,,,,,,,,,,,,,,
1061,"Christl, S.U.","Murgatroyd, P.R.; Gibson, G.R.","Cummings, J.H.","Production, metabolism, and excretion of hydrogen in the large intestine ",1992,Gastroenterology,10.1016/0016-5085(92)70022-4,"Hydrogen is produced during fermentation in the large intestine and may be excreted in breath and flatus or further metabolized by the flora. However, there is little information about total H2 excretion from different substrates or the extent to which it is metabolized in the colon. We have therefore measured total H2 and methane excretion in 10 healthy subjects using a whole body calorimeter. Breath gases were measured simultaneously with total excretion in response to lactulose, pectin, and banana starch. Metabolic activities of the predominant H2 consuming anaerobes (methanogenic, sulfate reducing, and acetogenic bacteria) were measured in fecal samples. Total H2 excretion on a starch and fiber-free diet was 35 +/- 6.1 mL/24 h +/- SEM. H2 from 7.5 g, 15 g, and 22.5 g lactulose was 88.1 +/- 22.4 mL, 227.0 +/- 60.7 mL, and 321.8 +/- 79.2 mL. Four of the subjects also excreted CH4, which was 51.3 +/- 5.5 mL, 97.3 +/- 18.4 mL, and 157.5 +/- 36.3 mL for the respective lactulose doses. H2 excretion was less in methanogenic subjects (7.9 mL/g lactulose) than in nonmethanogenic (17.3 mL/g), but total H2 excreted as, hydrogen + methane, was 34.9 mL/g. H2 from pectin (20 g) was 14.1% +/- 3.2% and from starch (22.2 g) 38.6% +/- 9.2% of an equivalent lactulose dose. Sixty-five percent of total H2 and CH4 was expired in breath at total excretion rates up to 200 mL/24 h. Over this the proportion decreased to 25% with an overall average of 58%. Only subjects with CH4 excretion in vivo showed methanogenesis in feces, whereas nonmethanogenic subjects showed high sulfate-reducing activity in feces (58.7 +/- 5.6 nmol 35SO4 reduced.h-1.g-1 wet wt vs. 7.9 +/- 2.0 nmol.h-1.g-1 in methanogens). Acetogenesis rates were very low in both groups. It was concluded that H2 excretion varies with different substrates. The proportion of H2 that is exhaled in breath is higher than currently accepted and varies with total excretion rate. Substantial amounts of H2 are consumed by methanogenic and sulfate-reducing bacteria. ",Neutral,Human,Intestine,Hydrogen Biology,Gut Microbiome,Gas,N/A,In Vivo Biotic Production,,,United Kingdom,,,,,,,,,,,,,,,,,,,,,,,,
1063,"Levitt, Michael D.",,,Production and Excretion of Hydrogen Gas in Man,1969,New England Journal of Medicine,10.1056/NEJM196907172810303,"Technics employing intestinal infusions of gas were used to study H2 production in the human intestine. The volume of H2 in the bowel of 10 normal subjects varied from 0.06 to 29 ml. H2 production, which averaged 0.24 ml per minute in the fasting state, sharply increased after intestinal instillation of lactose to a mean peak rate of 1.6 ml per minute. Ingestion of food also increased H2 production by seven-fold to 30-fold. In the normal intestine, more than 99 per cent of H2 production was colonic, but small-bowel production was increased in a patient with excessive numbers of small-bowel bacteria. H2 production in man is primarily dependent upon the delivery of ingested, fermentable substrates to an abundant intestinal flora that normally is present only in the colon. A mean of 14 per cent of the total H2 production was excreted by the lungs, and rates of breath H2 excretion and H2 production correlated well (r = 0.94). Respiratory H2 excretion can therefore be used as an indicator of intestinal H2 production.",Neutral,Human,Intestine,Hydrogen Biology,Gut Microbiome,Gas,N/A,In Vivo Biotic Production,,,United States,,,,,,,,,,,,,,,,,,,,,,,,
1067,"Shimouchi, Akito",,"Nose, Kazutoshi",Abstract A48: Changes In Hydrogen Gas Release From The Skin During Inhalation Of Hydrogen-Rich Air,2011,American Thoracic Society International Conference,10.1164/ajrccm-conference.2011.183.1_MeetingAbstracts.A1682,No abstract available,Neutral,Human,Whole Body,Hydrogen Biology,Hydrogen Safety,Gas,N/A,Inhalation,,,Japan,,,,,,,,,,,,,,,,,,,,,,,,
1068,"Shimouchi, Akito","Nose, Kazutoshi; Yamaguchi, Makoto; Ishiguro, Hiroshi","Kondo, Takahara",Breath hydrogen produced by ingestion of commercial hydrogen water and milk ,2009,Biomarker Insights,10.4137/bmi.s2209 ,"Objective: To compare how and to what extent ingestion of hydrogen water and milk increase breath hydrogen in adults. Methods: Five subjects without specific diseases, ingested distilled or hydrogen water and milk as a reference material that could increase breath hydrogen. Their end-alveolar breath hydrogen was measured. Results: Ingestion of hydrogen water rapidly increased breath hydrogen to the maximal level of approximately 40 ppm 10-15 min after ingestion and thereafter rapidly decreased to the baseline level, whereas ingestion of the same amount of distilled water did not change breath hydrogen (p < 0.001). Ingestion of hydrogen water increased both hydrogen peaks and the area under the curve (AUC) of breath hydrogen in a dose-dependent manner. Ingestion of milk showed a delayed and sustained increase of breath hydrogen in subjects with milk intolerance for up to 540 min. Ingestion of hydrogen water produced breath hydrogen at AUC levels of 2 to 9 ppm hour, whereas milk increased breath hydrogen to AUC levels of 164 ppm hour for 540 min after drinking. Conclusion: Hydrogen water caused a rapid increase in breath hydrogen in a dose-dependent manner; however, the rise in breath hydrogen was not sustained compared with milk.
",Neutral,Human,Whole Body,Hydrogen Biology,Hydrogen Safety,Gas,N/A,In Vivo Biotic Production,,,Japan,,,,,,,,,,,,,,,,,,,,,,,,
1069,"Shimouchi, Akito","Nose, Kazutoshi; Shirai, Mikiyasu","Kondo, Takahara",Estimation of molecular hydrogen consumption in the human whole body after the ingestion of hydrogen-rich water ,2011,Advances in Experimental Medicine and Biology,10.1007/978-1-4614-1566-4_36 ,"Recent studies have revealed that inhaled or ingested hydrogen gas (H 2) inactivates reactive oxygen species such as hydroxyl radicals in various kinds of diseases and disorders in animal models and that H2 reduces oxidative stress-induced damage in brain, heart, and other peripheral tissues. These reports suggested that exogenous H2 is partially trapped by oxygen radicals. This study was conducted to evaluate H2 consumption after the ingestion of H2-rich water. Seven adult subjects ingested H2-rich water. The H2 content of their expired breath was measured by gas chromatography with a semiconductor. The ingestion of H2-rich water rapidly increased breath H2 content to its maximal level of approximately 36 ppm at 10 min after ingestion and thereafter decreased it to the baseline level within 60 min. Taken together with simultaneous measurements of expiratory minute volume, 59% of the ingested H2 was exhaled. The loss of H2 from the water during the experimental procedures accounted for 3% or less of the H2. H 2 release from the skin surface was estimated as approximately 0.1%. Based on the remaining H2 mass balance, approximately 40% of the ingested H2 was consumed in the body. As the H2 molecule is reported to be a weak scavenger of hydroxyl radicals and is not effective against superoxide or hydrogen peroxide, the rate of hydroxyl radical production was estimated to be at least 1.0 _mol/min/m2 (equivalent to 29 nmol/min/kg), assuming that the H2 molecules were all used to scavenge hydroxyl radicals and that bacterial consumption in the alimentary tract and on the skin surface could be excluded. In summary, 59% of ingested H2 was exhaled, and most of the remainder was consumed in the body.",Neutral,Human,Whole Body,Hydrogen Biology,Hydrogen Safety,Water (Electrolysis),Neutral,Ingestion,,,Japan,,,,,,,,,,,,,,,,,,,,,,,,
1070,"Shimouchi, Akito","Nose, Kazutoshi; Mizukami, Tomoe; Che, Dock-Chil","Shirai, Mikiyasu",Molecular hydrogen consumption in the human body during the inhalation of hydrogen gas ,2013,Advances in Experimental Medicine and Biology,10.1007/978-1-4614-7411-1_42 ,"Inhaling or ingesting hydrogen (H2) gas improves oxidative stress-induced damage in animal models and humans. We previously reported that H2 was consumed throughout the human body after the ingestion of H2-rich water and that the H2 consumption rate ([Formula: see text]) was 1.0 _mol/min/m(2) body surface area. To confirm this result, we evaluated [Formula: see text]during the inhalation of low levels of H2 gas. After measuring the baseline levels of exhaled H2 during room air breathing via a one-way valve and a mouthpiece, the subject breathed low levels (160 ppm) of H2 gas mixed with purified artificial air. The H2 levels of their inspired and expired breath were measured by gas chromatography using a semiconductor sensor. [Formula: see text] was calculated using a ventilation equation derived from the inspired and expired concentrations of O2/CO2/H2, and the expired minute ventilation volume, which was measured with a respiromonitor. As a result, [Formula: see text] was found to be approximately 0.7 _mol/min/m(2)BSA, which was compatible with the findings we obtained using H2-rich water. [Formula: see text] varied markedly when pretreatment fasting to reduce colonic fermentation was not employed, i.e., when the subject's baseline breath hydrogen level was 10 ppm or greater. Our H2 inhalation method might be useful for the noninvasive monitoring of hydroxyl radical production in the human body. ",Neutral,Human,Whole Body,Hydrogen Biology,Hydrogen Safety,Gas,N/A,Inhalation,,,Japan,,,,,,,,,,,,,,,,,,,,,,,,
1081,"Tarnava, Alex",,,Supersaturated Hydrogen-Rich Water Hydrotherapy for Recovery of Acute Injury to the Proximal Phalanges on the 5th Toe: A Case Report,2021,Journal of Science and Medicine,10.37714/josam.v2i4.57,"Background: Traditional treatments of soft tissue injuries (STIs) and some musculoskeletal injuries (MSK-Is) involves therapies such as the RICE protocol, which consists of rest, ice, compression and elevation for several days following acute trauma. Designed to improve comfort and reduce pain following traumatic injury, questions exist on the efficacy of RICE protocol; if it may in fact delay the rate of healing; and if it has any beneficial effect at all. Recently, a growing body of evidence has suggested molecular hydrogen therapy (H2) as a potential adjuvant, or first line treatment, for numerous MSK-Is, STIs, and afflictions affecting the skin, both through topical administration and oral consumption. Case report: The recovery of a middle-aged male who suffered an injury to the proximal phalanges of the 5th toe of the right foot while kickboxing. The participant received four 25-minute hydrogen-rich hydrotherapy sessions in a super saturated solution with an average concentration approaching 8mg/L, on days 1,3,5,7 following injury. Recovery noted a rapid reduction in pain and swelling, a dramatic improvement in range of motion and ability to bear weight, and an ability to conduct limited activities after first treatment, including walking and modified exercise (i.e., boxing). Conclusion: This case is yet another indication that high concentration hydrogen-rich hydrotherapy may be a helpful first line treatment in terms of reduction of pain and improvement in function following injury, in addition to the evidence suggesting benefit in reducing chronic indications caused by acute or chronic stress.",Positive,Human,Bone,Excercise,Sprain,Water (Mg-Chemico),Alkaline,Bath,,,Canada,,,,,,,,,,,,,,,,,,,,,,,,
1083,"Watanabe, T.","Tsuji, S.; Hiramatsu, N.; Monden, T.","Kajimoto, O.",Effects of hydrogen-rich water on attenuating fatigue induced by daily activities or mental tasks,2018,Japanese Pharmacology and Therapeutics,https://www.pieronline.jp/content/article/0386-3603/46040/581,"Objectives In 2007, the first report that hydrogen removes active oxygen was published, and many clinical and non-clinical studies have since been conducted using hydrogen gas or water. Several diseases and symptoms are related to active oxygen, and fatigue is also induced by increases in oxidative stress. The current randomized, double-blind, placebo-controlled, crossover study was conducted to investigate the effects of hydrogen-rich water_HRW_on attenuating fatigue induced by daily activities or mental tasks. Methods Twenty-four healthy volunteers were randomized to either oral administration of hydrogen-rich water containing 0.36 mg of hydrogen or placebo for 4 weeks. Subjective sensation and work efficacy were examined using the visual analogue scale_VAS_and the advanced trail making test_ATMT_, respectively, to evaluate the anti-fatigue effects of hydrogen-rich water. In addition, we measured serum malondialdehyde-modified low density lipoprotein _MDA-LDL_and derivatives of reactive oxygen metabolites_d-ROMs_as possible mechanisms of action. Results On the VAS, the hydrogen-rich water group had a significantly lower sleepiness and tension score after 4-week administration, and a significantly higher motivation and relaxation score after mental tasks compared with the placebo group. On the ATMT, hydrogen-rich water significantly reduced the mean reaction time during mental tasks. The serum MDA-LDL level after 4-week administration was significantly lower compared with before administration in the hydrogen-rich water group. The serum d-ROM level was significantly correlated with the VAS fatigue sensation score in the hydrogen-rich water group. Conclusions These results suggest that hydrogen-rich water improves several subjective sensations accompanying fatigue induced by daily activities and mental tasks by enhancing work efficacy and attenuating fatigue during mental tasks. We consider these effects to be caused by the antioxidant action of hydrogen.",Positive,Human,Brain,Neuroprotection,Fatigue,Water (Electrolysis),Neutral,Ingestion,,,Japan,,,,,,,,,,,,,,,,,,,,,,,,
1093,"Cole, Alexis R.","Sperotto, Francesca; DiNardo, James A.; Carlisle, Stephanie; Rivkin, Michael J.; Sleeper, Lynn A.","Kheir, John N.",Safety of Prolonged Inhalation of Hydrogen Gas in Air in Healthy Adults ,2021,Critical Care Explorations,10.1097/CCE.0000000000000543,"Ischemia-reperfusion injury is common in critically ill patients, and directed therapies are lacking. Inhaled hydrogen gas diminishes ischemia-reperfusion injury in models of shock, stroke, and cardiac arrest. The purpose of this study was to investigate the safety of inhaled hydrogen gas at doses required for a clinical efficacy study. Design: Prospective, single-arm study. Setting: Tertiary care hospital. Patients/subjects: Eight healthy adult participants. Interventions: Subjects underwent hospitalized exposure to 2.4% hydrogen gas in medical air via high-flow nasal cannula (15 L/min) for 24 (n = 2), 48 (n = 2), or 72 (n = 4) hours. Measurements and main results: Endpoints included vital signs, patient- and nurse-reported signs and symptoms (stratified according to clinical significance), pulmonary function testing, 12-lead electrocardiogram, mini-mental state examinations, neurologic examination, and serologic testing prior to and following exposure. All adverse events were verified by two clinicians external to the study team and an external Data and Safety Monitoring Board. All eight participants (18-30 yr; 50% female; 62% non-Caucasian) completed the study without early termination. No clinically significant adverse events occurred in any patient. Compared with baseline measures, there were no clinically significant changes over time in vital signs, pulmonary function testing results, Mini-Mental State Examination scores, neurologic examination findings, electrocardiogram measurements, or serologic tests for hematologic (except for clinically insignificant increases in hematocrit and platelet counts), renal, hepatic, pancreatic, or cardiac injury associated with hydrogen gas inhalation. Conclusions: Inhalation of 2.4% hydrogen gas does not appear to cause clinically significant adverse effects in healthy adults. Although these data suggest that inhaled hydrogen gas may be well tolerated, future studies need to be powered to further evaluate safety. These data will be foundational to future interventional studies of inhaled hydrogen gas in injury states, including following cardiac arrest.
",Positive,Human,Whole Body,Hydrogen Biology,Hydrogen Safety,Gas,N/A,Inhalation,,,United States,,,,,,,,,,,,,,,,,,,,,,,,
1099,"Zanini, Dragana","Todorovic, Nikola; Korovljev, Darinka; Stajer, Valdemar; Ostojic, Jelena; Purac, Jelena; Kojic, Danijela; Vukasinovic, Elvira; Djordjievski, Srdjana; Sopic, Miron; Guzonjic, Azra; Ninic, Ana; Erceg, Sanja","Ostojic, Sergej M.",The effects of 6-month hydrogen-rich water intake on molecular and phenotypic biomarkers of aging in older adults aged 70 years and over: A randomized controlled pilot trial ,2021,Experimental Gerontology,10.1016/j.exger.2021.111574 ,"In this randomized controlled pilot trial, we investigated the effects of a 6-month intake of hydrogen-rich water (HRW) on several molecular and phenotypic biomarkers of aging in older adults aged 70 years and over. Forty older adults (20 women) were randomly allocated in a parallel-group design to receive 0.5 L per day of HRW (15 ppm of hydrogen) or control drink (0 ppm of hydrogen) during a 6-month intervention period. The biomarkers assessed at baseline and 6-month follow up were molecular markers in the blood (DNA and chromosomes, nutrient sensing, protein, and lipid metabolism, oxidative stress and mitochondria, cell senescence, inflammation), brain metabolism, cognitive functioning, physical function and body composition, resting blood pressure, facial skin features, sleep outcomes, and health-related quality of life. The mean age, weight, and height of study participants were 76.0 ± 5.6 years, 78.2 ± 16.1 kg, height 167.5 ± 11.5 cm, respectively. A significant treatment vs. time interaction was found for telomere length (P = 0.049), with the length increased after HRW intervention (from 0.99 ± 0.15 at baseline to 1.02 ± 0.26 at follow up) and decreased after drinking control water (from 0.92 ± 0.27 to 0.79 ± 0.15). A marker of DNA methylation (Tet methylcytosine dioxygenase 2, TET2) expression at 6-month follow-up increased in both groups, yet the degree of elevation was significantly higher in HRW (from 0.81 ± 0.52 at baseline to 1.62 ± 0.66 at follow up) comparing to the control water (from 1.13 ± 0.82 to 1.76 ± 0.87) (P = 0.040). A strong trend for treatment vs. time interaction was found for a degree of DNA methylation (P = 0.166), with the methylation increased in the HRW group (from 120.6 ± 39.8 ng at baseline to 126.6 ± 33.8 ng at follow up) and decreased after taking control water (from 133.6 ± 52.9 ng to 121.2 ± 38.4 ng). HRW was superior to control water to increase brain choline and NAA levels in the left frontal grey matter, brain creatine at the right parietal white matter, and brain NAA at the right parietal mesial grey matter (P < 0.05). No significant differences were found between interventions for other outcomes (P > 0.05), except for a significantly improved chair stand performance after HRW intervention compared to the control water (P = 0.01). Owing to pleiotropic mechanisms of hydrogen action, this simple biomedical gas could be recognized as a possible anti-aging agent that tackles several hallmarks of aging, including loss of function and telomere length shortening. ",Positive,Human,Whole Body,Aging,Oxidative Stress,Water (Mg-Chemico),Alkaline,Ingestion,,,Serbia,,,,,,,,,,,,,,,,,,,,,,,,
1101,"Todorovic, Nikola","Zanini, Dragana; Stajer, Valdemar; Korovljev, Darinka; Ostojic, Jelena","Ostojic, Sergej M.",Hydrogen-rich water and caffeine for alertness and brain metabolism in sleep-deprived habitual coffee drinkers ,2021,Food Science & Nutrition,10.1002/fsn3.2480 ,"The main aim of this randomized-controlled cross-over interventional trial was to assess the acute effects of taking a single dose of hydrogen-rich water (HRW), and compare it with caffeine, HRW plus caffeine, and control water, for alertness, brain metabolism, brain and oxygen saturation, and self-reported adverse events in healthy men and women who were habitual coffee drinkers and were sleep-deprived for 24 hr. Sixteen apparently healthy young adults (8 men and 8 women; age 24.0 ± 3.5 years) were allocated in a cross-over design to receive a single-dose drink of HRW (8 ppm), caffeine (50 mg), HRW plus caffeine, or control drink (tap water) in the morning after 24-hr sleep deprivation and 12-hr fasting. The primary and secondary outcomes were assessed at baseline (pre-intervention) and 15-min follow-up. Significantly less time was needed to complete trail-making test after both HRW and HRW plus caffeine compared with the control drink (p < .05). The number of errors in the symbol digit modalities test was significantly lower after drinking HRW or caffeine than control drink (p < .05). Both HRW and caffeine significantly increased the choline-to-creatine ratio in several brain regions (frontal white and gray matter), while HRW and the combination intervention also affected brain metabolism in the paracentral brain. No participants reported any side effects from any intervention. The attention enhancement driven by HRW appears along with changes in brain metabolism. Being generally recognized as a safe intervention, hydrogen could be thus recommended as a novel intervention that upholds attention in stressed conditions, with its metabolic footprint likely different from caffeine. ",Positive,Human,Brain,Sleep Deprivation,Fatigue,Water (Mg-Chemico),Alkaline,Ingestion,Caffeine,,Serbia,,,,,,,,,,,,,,,,,,,,,,,,
1103,"Christiansen, Charlotte Bayer","Veedfald, Simon; Hartmann, Bolette; Gauguin, Astrid Marie; Moller, Soren; Moritz, Thomas; Madsbad, Sten","Holst, Jens Juul",Colonic lactulose fermentation has no impact on glucagon-like peptide-1 and peptide-YY secretion in healthy young men ,2021,Journal of Clinical Endocrinology and Metabolism,10.1210/clinem/dgab666 ,"Context: The colon houses most of our gut microbiota, which ferments indigestible carbohydrates. The products of fermentation have been proposed to influence the secretion of glucagon-like peptide-1 (GLP-1) and peptide YY (PYY) from the many endocrine cells in the colonic epithelium. However, little is known about the colonic contribution to fasting or postprandial plasma levels of L-cell products. Objective: To determine the impact of colonic lactulose fermentation on gut peptide secretion and to evaluate whether colonic endocrine secretion contributes to gut hormone concentrations measurable in the fasting state. Research design and methods: Ten healthy young men were studied on three occasions after an overnight fast. On two study days, lactulose (20 g) was given orally, and compared to water intake on a third study day. For one of the lactulose visits participants underwent a full colonic evacuation. Over a six-hour study protocol, lactulose fermentation was assessed by measuring exhaled hydrogen (H2), while gut peptide secretion, paracetamol and short chain fatty acid levels were measured in plasma. Results: Colonic evacuation markedly reduced hydrogen exhalation after lactulose intake (p=0.013). Our analysis suggests that the colon does not account for the measurable amounts of GLP-1 and PYY present in the circulation during fasting, and that fermentation and peptide secretion are not acutely related. Conclusion: Whether colonic luminal contents affect colonic L-cell secretion sufficiently to influence circulating concentrations requires further investigation. Colonic evacuation markedly reduced lactulose fermentation, but hormone releases were unchanged in the present study.
",Neutral,Human,Intestine,Metabolic Syndrome,Glucose Metabolism,Gas,N/A,In Vivo Biotic Production,,,Denmark,,,,,,,,,,,,,,,,,,,,,,,,
1116,"Shinada, Takamitsu","Takano, Yuji; Kokubun, Keisuke; Iki, Hikari","Taki, Yasuyuki","Effects of Natural Reduced Water on Cognitive Function, Body Composition, and Psychological Function in Older Adults: Study Protocol for a Randomized Controlled Trial ",2021,Methods and Protocols,10.3390/mps4040073 ,"Natural reduced water is natural water that contains active hydrogen and reduces oxidation. It is rare in the world, and in Japan, it is produced in the Hita area of Oita Prefecture (Hita Tenryosui water). Previous studies in humans have examined the effects of natural reduced water on diabetes, which is one of the known risks for dementia. Animal studies of natural reduced water have revealed anti-obesity and anti-anxiety effects. However, the effects of natural reduced water on cognitive function, body composition, and psychological function in humans are unknown. Therefore, we investigated the relationship between these items in elderly people who continuously consume natural reduced water. In this study, we recruited participants aged between 65 and 74 years. The participants were randomly and blindly assigned to a natural reduced water (Hita Tenryosui water) group or a control (tap water) group and drank 1 L of water daily for 6 months. Cognitive function, body composition, and psychological function were measured before and after the 6-month intervention period. ",Neutral,Human,Brain,Aging,Cognitive Impairment,"Water, Commercial (Hita Tenryosui)",Alkaline,Ingestion,,,Japan,,,,,,,,,,,,,,,,,,,,,,,,
1123,"Tanaka, Yoshiharu","Xiao, Li","Miwa, Nobuhiko",Hydrogen-rich bath with nano-sized bubbles improves antioxidant capacity based on oxygen radical absorbing and inflammation levels in human serum ,2021,Medical Gas Research,10.4103/2045-9912.330692 ,"This study compared the effects of hydrogen-water (HW) bath on the oxygen radical absorption-based antioxidant capacity and the inflammatory indicator, C-reactive protein (CRP), in serum between healthy volunteers and inflammatory/collagen disease-patients. The HW bath apparatus supplied nano-bubbles with a diameter of 110 ± 10 nm and 338-682 _g/L of dissolved hydrogen after 120 minutes electrolysis, and nano-bubbles increased to 9.91 _ 107/mL along with the increase of correlative dissolved hydrogen. Ten-minute HW bath increased the oxygen radical absorption-based antioxidant capacity to 110.9 ± 9.2% at post-bathing 120 minutes, although unaltered with 10-minute normal water bath at 40°C in healthy subjects. The CRP level was repressed to 70.2 ± 12.1% at 120 minutes after HW bath, although rather increased for normal water bath. In the patients with connective tissue diseases, the CRP level was repressed to 3-24% upon 9 days to 4 months of HW bathing. In another six patients with diverse autoimmune-related diseases, upon daily HW bathing as long as 2-25 months, the pre-bathing CRP level of 5.31 mg/dL decreased to 0.24 mg/dL being within the standard-range, with relief of visible inflammatory symptoms for some cases. Thus, the HW bath with high-density nano-bubbles has beneficial effects on serum antioxidant capacity, inflammation, and the skin appearance. The study was approved by the Committee of Ethics, Japanese Center of Anti-Aging Medical Sciences (Authorization No. H-15-03-2, on January 15, 2019), which was a non-profitable organization officially authenticated by the Hiroshima Prefecture Government of Japan. (",Positive,Human,Skin,Cosmetic Issues,Inflammation,Water (Electrolysis),Neutral,Bath,,,Japan,,,,,,,,,,,,,,,,,,,,,,,,
1139,"Ogawa, Susumu","Ohsaki, Yusuke; Shimizu, Manami; Nako, Kazuhiro; Okamura, Masashi; Kabayama, Shigeru; Tabata, Kiyoshi; Tanaka, Yasuhisa","Ito, Sadoyoshi",Electrolyzed hydrogen-rich water for oxidative stress suppression and improvement of insulin resistance: a multicenter prospective double-blind randomized control trial ,2021,Diabetology International,10.1007/s13340-021-00524-3,"Introduction: Electrolyzed hydrogen-rich water (EHW) is known to have suppressive effects on oxidative stress (OS). However, its benefit in type 2 diabetes mellitus (T2DM) remains unclear. This study aimed to investigate the effect of EHW on T2DM. Methods: This was a multicenter, prospective, double-blind, randomized controlled trial of 50 patients with T2DM who were assigned to the EHW or filtered water (FW) groups. The primary endpoint was changes in insulin resistance (IR) evaluated using the homeostasis model assessment of insulin resistance (HOMA-IR). OS markers such as urinary 8-hydroxy-2'-deoxyguanosine excretion (8-OHdG), plasma diacron-reactive oxygen metabolites (d-ROM), and plasma biological antioxidant potential (BAP) and other clinical data, including serum lactate concentration (lactate), were evaluated. Results: There were no significant differences in the changes in HOMA-IR between the EHW and FW groups. However, lactate levels decreased significantly in the EHW group, and this decrease was significantly correlated with a reduction in HOMA-IR, fasting plasma glucose, and fasting plasma insulin level. Serum lactate level also significantly correlated to decreased insulin bolus secretion after 90 min with glucose loading in the EHW subjects with HOMA-IR > 1.73. No EHW treatment-related adverse effects were observed. Conclusion: There were no significant effect of EHW in the change in HOMA-IR in this study; larger-scale and longer-term study are needed to verify the effects of EHW in T2DM patients. Supplementary information: The online version contains supplementary material available at 10.1007/s13340-021-00524-3.",Positive,Human,Whole Body,Diabetes (Type II),Glucose Metabolism,Water (Electrolysis),Neutral,Ingestion,,,Japan,,,,,,,,,,,,,,,,,,,,,,,,
1143,"Botek, Michal","Khanna, Deepesh; Krejci, Jakub; Valenta, Michal; McKune, Andrew; Sladeckova, Barbora","Klimesova, Iva",Molecular Hydrogen Mitigates Performance Decrement during Repeated Sprints in Professional Soccer Players ,2022,Nutrients,10.3390/nu14030508 ,"Hydrogen-rich water (HRW) supplementation has been shown to have an antifatigue effect across different modes of exercise. However, its effect on repeated sprint performance is unknown. The aim of this study was to assess the effect of pre-exercise HRW consumption on repeated sprint performance, lactate, and perceptual responses using a repeated sprint protocol. This randomized, double blinded, placebo controlled, crossover study included 16 professional, male soccer players aged 18.8 ± 1.2 years. Athletes performed two indoor tests, particularly 15 _ 30 m track sprints interspersed by 20 s of recovery, separated by a 1-week washout period. Sprint time was measured at 15 m and 30 m. Ratings of perceived exertion were assessed immediately after each sprint, and post-exercise blood lactate concentration was measured after the last sprint. There were significantly faster sprint times after HRW consumption compared with placebo at 15 m for the 14th and 15th sprints, representing improvements in time of 3.4% and 2.7%, respectively. Sprint time at 30 m also significantly improved by 1.9% in the HRW group in the last sprint. However, neither lactate concentrations nor ratings of perceived exertion were significantly different between HRW and placebo. Pre-exercise HRW supplementation is associated with an increased ability to reduce fatigue, especially during the later stages of repeated sprint exercise. ",Positive,Human,Whole Body,Excercise,Fatigue,Water (Dissolved),Neutral,Ingestion,,,Czech Republic,,,,,,,,,,,,,,,,,,,,,,,,
