# approved-by: josh (auto-approve directive in session, 2026-09-23)
# Legacy-URL 301 map. Built 2026-09-23 from Ahrefs (pages-by-backlinks, backlinks-to-legacy, Googlebot status audit), prod not_found_log (hits>=20, scanner noise dropped), and prod gsc_query_metrics pages (2026-01-24..2026-09-21). Every from_path was probed live as Googlebot: only 404s are listed. applied=yes rows were inserted by scripts/consolidation/legacy-redirects.ts --apply; DEFERRED rows wait on the url-hygiene PR deploy.
from_path,to_path,previous_to_path,status_code,previous_status_code,match_method,confidence,sources,referring_domains,gsc_impressions,gsc_clicks,nf_hits,applied,reason
/hydrogen-water,/studies,,,,structural,high,ahrefs-404-audit+ahrefs-pages-by-backlinks+not_found_log,1,,,45,yes,old overview page -> studies directory (directive)
/secondary-topic/kidney-stones,/explore-by-condition/kidney-health,,,,curated-parent-hub,high,gsc+not_found_log,,451,6,254,yes,kidney condition -> Kidney Health hub (parent topic)
/study/a-randomized-double-blind-multi-center-trial-of-hydrogen-water-for-parkinsons-disease-protocol-and-baseline-characteristics,/study/a-randomized-double-blind-multi-center-trial-of-hydrogen-water-for-parkinsons-disease-protocol-and-baseline-characteristics-1775650467148,,,,slug-prefix-exact,high,ahrefs-404-audit+ahrefs-pages-by-backlinks,1,,,,yes,current slug = <old-slug>-<13-digit id>
/study/daily-ingestion-of-alkaline-electrolyzed-water-containing-hydrogen-influences-human-health-including-gastrointestinal-symptoms,/study/daily-ingestion-of-alkaline-electrolyzed-water-containing-hydrogen-influences-human-health-including-gastrointestinal-symptoms-1775650467139,,,,slug-prefix-exact,high,ahrefs-404-audit+ahrefs-pages-by-backlinks,1,,,,yes,current slug = <old-slug>-<13-digit id>
/study/effect-of-hydrogen-water-drinking-on-dementia-patient-through-mechanism-of-oxidative-stress-and-immune-redox-balance,/study/effect-of-hydrogen-water-drinking-on-dementia-patient-through-mechanism-of-oxidative-stress-and-immune-redox-balance-1775650467137,,,,slug-prefix-exact,high,ahrefs-404-audit+ahrefs-pages-by-backlinks,1,,,,yes,current slug = <old-slug>-<13-digit id>
/study/effects-of-hydrogen-rich-water-and-ascorbic-acid-treatment-on-spontaneously-hypertensive-rats,/study/effects-of-hydrogen-rich-water-and-ascorbic-acid-treatment-on-spontaneously-hypertensive-rats-1775650467166,,,,slug-prefix-exact,high,ahrefs-404-audit+ahrefs-pages-by-backlinks,1,,,,yes,current slug = <old-slug>-<13-digit id>
/study/hydrogen-attenuates-thyroid-hormone-induced-cardiac-hypertrophy-in-rats-by-regulating-angiotensin-ii-type-1-receptor-and-nadph-oxidase-2-mediated-oxidative-stress,/study/hydrogen-attenuates-thyroid-hormone-induced-cardiac-hypertrophy-in-rats-by-regulating-angiotensin-ii-type-1-receptor-and-nadph-oxidase-2-mediated-oxidative-stress-1775650467166,,,,slug-prefix-exact,high,ahrefs-404-audit+ahrefs-pages-by-backlinks,1,,,,yes,current slug = <old-slug>-<13-digit id>
/study/hydrogen-h-2-alleviates-osteoarthritis-by-inhibiting-apoptosis-and-inflammation-via-the-jnk-signaling-pathway,/study/hydrogen-h-2-alleviates-osteoarthritis-by-inhibiting-apoptosis-and-inflammation-via-the-jnk-signaling-pathway-1775650467133,,,,slug-prefix-exact,high,ahrefs-404-audit+ahrefs-pages-by-backlinks,1,,,,yes,current slug = <old-slug>-<13-digit id>
/study/hydrogen-regulates-mitochondrial-quality-to-protect-glial-cells-and-alleviates-sepsis-associated-encephalopathy-by-nrf2-yy1-complex-promoting-ho-1-expression,/study/hydrogen-regulates-mitochondrial-quality-to-protect-glial-cells-and-alleviates-sepsis-associated-encephalopathy-by-nrf2yy1-complex-promoting-ho-1-expression-1775650467169,,,,slug-compact-exact,high,ahrefs-404-audit+ahrefs-pages-by-backlinks,1,,,,yes,"identical letters/digits; differs only in punctuation (e.g. db/db, NF-kB)"
/study/hydrogen-rich-saline-improves-non%e2%80%91alcoholic-fatty-liver-disease-by-alleviating-oxidative-stress-and-activating-hepatic-ppar%ce%b1-and-ppar%ce%b3,/study/hydrogen-rich-saline-improves-nonalcoholic-fatty-liver-disease-by-alleviating-oxidative-stress-and-activating-hepatic-ppara-and-pparg-1775650467146,,,,title-exact,high,ahrefs-404-audit+ahrefs-pages-by-backlinks,1,,,,yes,normalized title equals old slug
/study/hydrogen-rich-water-ameliorates-metabolic-disorder-via-modifying-gut-microbiota-in-impaired-fasting-glucose-patients-a-randomized-controlled-study,/study/hydrogen-rich-water-ameliorates-metabolic-disorder-via-modifying-gut-microbiota-in-impaired-fasting-glucose-patients-a-randomized-controlled-study-1775650467170,,,,slug-prefix-exact,high,ahrefs-404-audit+ahrefs-pages-by-backlinks,1,,,,yes,current slug = <old-slug>-<13-digit id>
/study/hydrogen-rich-water-and-caffeine-for-alertness-and-brain-metabolism-in-sleep-deprived-habitual-coffee-drinkers,/study/hydrogen-rich-water-and-caffeine-for-alertness-and-brain-metabolism-in-sleep-deprived-habitual-coffee-drinkers-1775650467164,,,,slug-prefix-exact,high,ahrefs-404-audit+ahrefs-backlinks+ahrefs-pages-by-backlinks,1,,,,yes,current slug = <old-slug>-<13-digit id>
/study/hydrogen-rich-water-consumption-positively-affects-muscle-performance-lactate-response-and-alleviates-delayed-onset-of-muscle-soreness-after-resistance-training,/study/hydrogen-rich-water-consumption-positively-affects-muscle-performance-lactate-response-and-alleviates-delayed-onset-of-muscle-soreness-after-resistance-training-1775650467133,,,,slug-prefix-exact,high,ahrefs-404-audit+ahrefs-pages-by-backlinks,1,,,,yes,current slug = <old-slug>-<13-digit id>
/study/hydrogen-rich-water-for-improvements-of-mood-anxiety-and-autonomic-nerve-function-in-daily-life,/study/hydrogen-rich-water-for-improvements-of-mood-anxiety-and-autonomic-nerve-function-in-daily-life-1775650467142,,,,slug-prefix-exact,high,ahrefs-404-audit+ahrefs-backlinks+ahrefs-pages-by-backlinks,1,,,,yes,current slug = <old-slug>-<13-digit id>
/study/hydrogen-rich-water-intake-accelerates-oral-palatal-wound-healing-via-activation-of-the-nrf2-antioxidant-defense-pathways-in-a-rat-model,/study/hydrogen-rich-water-intake-accelerates-oral-palatal-wound-healing-via-activation-of-the-nrf2antioxidant-defense-pathways-in-a-rat-model-1775650467148,,,,slug-compact-exact,high,ahrefs-404-audit+ahrefs-pages-by-backlinks,1,,,,yes,"identical letters/digits; differs only in punctuation (e.g. db/db, NF-kB)"
/study/hydrogen-rich-water-reduces-inflammatory-responses-and-prevents-apoptosis-of-peripheral-blood-cells-in-healthy-adults-a-randomized-double-blind-controlled-trial,/study/hydrogen-rich-water-reduces-inflammatory-responses-and-prevents-apoptosis-of-peripheral-blood-cells-in-healthy-adults-a-randomized-double-blind-controlled-trial-1775650467136,,,,slug-prefix-exact,high,ahrefs-404-audit+ahrefs-pages-by-backlinks,1,,,,yes,current slug = <old-slug>-<13-digit id>
/study/hydrogen-rich-water-upregulates-fecal-propionic-acid-levels-in-overweight-adults,/study/hydrogen-rich-water-upregulates-fecal-propionic-acid-levels-in-overweight-adults-1775650467170,,,,slug-prefix-exact,high,ahrefs-404-audit+ahrefs-backlinks+ahrefs-pages-by-backlinks,1,,,,yes,current slug = <old-slug>-<13-digit id>
/study/hydrogen-treatment-protects-against-cell-death-and-senescence-induced-by-oxidative-damage,/study/hydrogen-treatment-protects-against-cell-death-and-senescence-induced-by-oxidative-damage-1775650467144,,,,slug-prefix-exact,high,ahrefs-404-audit+ahrefs-pages-by-backlinks,1,,,,yes,current slug = <old-slug>-<13-digit id>
/study/immunological-effect-of-hydrogen-gas-hydrogen-gas-improves-clinical-outcomes-of-cancer-patients,/study/immunological-effect-of-hydrogen-gas-hydrogen-gas-improves-clinical-outcomes-of-cancer-patients-1775650467140,,,,slug-prefix-exact,high,ahrefs-404-audit+ahrefs-pages-by-backlinks,1,,,,yes,current slug = <old-slug>-<13-digit id>
/study/molecular-hydrogen-improves-type-2-diabetes-through-inhibiting-oxidative-stress,/study/retracted-molecular-hydrogen-improves-type-2-diabetes-through-inhibiting-oxidative-stress-1775650467136,,,,title-exact,high,ahrefs-404-audit+ahrefs-pages-by-backlinks,1,,,,yes,normalized title equals old slug
/study/molecular-hydrogen-suppresses-glioblastoma-growth-via-inducing-the-glioma-stem-like-cell-differentiation,/study/molecular-hydrogen-suppresses-glioblastoma-growth-via-inducing-the-glioma-stem-like-cell-differentiation-1775650467139,,,,slug-prefix-exact,high,ahrefs-404-audit+ahrefs-pages-by-backlinks,1,,,,yes,current slug = <old-slug>-<13-digit id>
/study/peripheral-endothelial-function-can-be-improved-by-daily-consumption-of-water-containing-over-7-ppm-of-dissolved-hydrogen-a-randomized-controlled-trial,/study/peripheral-endothelial-function-can-be-improved-by-daily-consumption-of-water-containing-over-7-ppm-of-dissolved-hydrogen-a-randomized-controlled-trial-1775650467135,,,,slug-prefix-exact,high,ahrefs-404-audit+ahrefs-pages-by-backlinks,1,,,,yes,current slug = <old-slug>-<13-digit id>
/study/pilot-study-effects-of-drinking-hydrogen-rich-water-on-muscle-fatigue-caused-by-acute-exercise-in-elite-athletes,/study/pilot-study-effects-of-drinking-hydrogen-rich-water-on-muscle-fatigue-caused-by-acute-exercise-in-elite-athletes-1775650467155,,,,slug-prefix-exact,high,ahrefs-404-audit+ahrefs-backlinks+ahrefs-pages-by-backlinks,1,,,,yes,current slug = <old-slug>-<13-digit id>
/study/pilot-study-of-h-2-therapy-in-parkinsons-disease-a-randomized-double-blind-placebo-controlled-trial,/study/pilot-study-of-h-2-therapy-in-parkinsons-disease-a-randomized-double-blind-placebo-controlled-trial-1775650467154,,,,slug-prefix-exact,high,ahrefs-404-audit+ahrefs-backlinks+ahrefs-pages-by-backlinks,1,,,,yes,current slug = <old-slug>-<13-digit id>
/study/positive-effects-of-hydrogen-water-bathing-in-patients-of-psoriasis-and-parapsoriasis-en-plaques,/study/positive-effects-of-hydrogen-water-bathing-in-patients-of-psoriasis-and-parapsoriasis-en-plaques-1775650467143,,,,slug-prefix-exact,high,ahrefs-404-audit+ahrefs-pages-by-backlinks,1,,,,yes,current slug = <old-slug>-<13-digit id>
/study/protective-effects-of-hydrogen-rich-water-against-cartilage-damage-in-a-rat-model-of-osteoarthritis-by-inhibiting-oxidative-stress-matrix-catabolism-and-apoptosis,/study/protective-effects-of-hydrogen-rich-water-against-cartilage-damage-in-a-rat-model-of-osteoarthritis-by-inhibiting-oxidative-stress-matrix-catabolism-and-apoptosis-1775650467134,,,,slug-prefix-exact,high,ahrefs-404-audit+ahrefs-pages-by-backlinks,1,,,,yes,current slug = <old-slug>-<13-digit id>
/study/safety-of-prolonged-inhalation-of-hydrogen-gas-in-air-in-healthy-adults,/study/safety-of-prolonged-inhalation-of-hydrogen-gas-in-air-in-healthy-adults-1775650467164,,,,slug-prefix-exact,high,ahrefs-404-audit+ahrefs-backlinks+ahrefs-pages-by-backlinks,1,,,,yes,current slug = <old-slug>-<13-digit id>
/study/short-term-h2-inhalation-improves-cognitive-function-in-older-women-a-pilot-study,/study/short-term-h2-inhalation-improves-cognitive-function-in-older-women-a-pilot-study-1775650467135,,,,slug-prefix-exact,high,ahrefs-404-audit+ahrefs-pages-by-backlinks,1,,,,yes,current slug = <old-slug>-<13-digit id>
/study/supersaturated-hydrogen-rich-water-hydrotherapy-for-recovery-of-acute-injury-to-the-proximal-phalanges-on-the-5th-toe-a-case-report,/study/supersaturated-hydrogen-rich-water-hydrotherapy-for-recovery-of-acute-injury-to-the-proximal-phalanges-on-the-5th-toe-a-case-report-1775650467164,,,,slug-prefix-exact,high,ahrefs-404-audit+ahrefs-pages-by-backlinks,1,,,,yes,current slug = <old-slug>-<13-digit id>
/study/the-acute-effects-of-a-single-dose-of-molecular-hydrogen-supplements-on-responses-to-ergogenic-adjustments-during-high-intensity-intermittent-exercise-in-humans,/study/the-acute-effects-of-a-single-dose-of-molecular-hydrogen-supplements-on-responses-to-ergogenic-adjustments-during-high-intensity-intermittent-exercise-in-humans-1775650467167,,,,slug-prefix-exact,high,ahrefs-404-audit+ahrefs-pages-by-backlinks,1,,,,yes,current slug = <old-slug>-<13-digit id>
/study/the-antioxidative-effect-of-hydrogen-water-drinking-in-blood,/study/the-antioxidative-effect-of-hydrogen-water-drinking-in-blood-1775650467147,,,,slug-prefix-exact,high,ahrefs-404-audit+ahrefs-backlinks+ahrefs-pages-by-backlinks,1,,,,yes,current slug = <old-slug>-<13-digit id>
/study/the-clinical-research-on-the-effect-of-hydrogen-rich-water-on-primary-retinitis-pigmentosa,/study/the-clinical-research-on-the-effect-of-hydrogen-rich-water-on-primary-retinitis-pigmentosa-1775650467171,,,,slug-prefix-exact,high,ahrefs-404-audit+ahrefs-backlinks+ahrefs-pages-by-backlinks,1,,,,yes,current slug = <old-slug>-<13-digit id>
/study/the-effects-of-24-week-high-concentration-hydrogen-rich-water-on-body-composition-blood-lipid-profiles-and-inflammation-biomarkers-in-men-and-women-with-metabolic-syndrome-a-randomized-controlled-t,/study/the-effects-of-24-week-high-concentration-hydrogen-rich-water-on-body-composition-blood-lipid-profiles-and-inflammation-biomarkers-in-men-and-women-with-metabolic-syndrome-a-randomized-controlled-trial-1775650467136,,,,slug-prefix-truncated,high,ahrefs-404-audit+ahrefs-pages-by-backlinks,1,,,,yes,old slug is a truncated prefix of exactly one current slug
/home_page,/,,,,structural,high,gsc+not_found_log,,327,1,309,yes,old WP homepage variant
/secondary-topic/obesity,/explore-by-condition/weight-loss-metabolism,,,,curated-parent-hub,high,gsc+not_found_log,,36,,561,yes,obesity -> 'Weight Loss & Metabolism' hub (parent topic)
/feed,/rss.xml,,,,structural,high,not_found_log,,,,583,yes,WP feed URL -> site RSS feed
/secondary-topic/heart-failure,/explore-by-body-system/cardiovascular,,,,curated-parent-hub,high,gsc+not_found_log,,94,2,206,yes,cardiac disease -> Cardiovascular hub (parent system)
/secondary-topic/inflammation,/explore-by-condition/inflammation,,,,hub-slug-exact,high,not_found_log,,,,258,yes,condition hub 'Inflammation'
/secondary-topic/kidney-failure,/explore-by-condition/kidney-health,,,,curated-parent-hub,high,gsc+not_found_log,,1,,247,yes,kidney disease -> Kidney Health hub (parent topic)
/tertiary-topic/postoperative-ileus,/explore-by-condition/gut-health,,,,curated-parent-hub,high,gsc+not_found_log,,162,,77,yes,intestinal condition -> Gut Health hub (parent topic)
/secondary-topic/irritable-bowel-syndrome-ibs,/explore-by-condition/gut-health,,,,curated-parent-hub,high,gsc+not_found_log,,1,,217,yes,GI disease -> Gut Health hub (parent topic)
/secondary-topic/metabolic-syndrome,/explore-by-condition/metabolic-syndrome,,,,hub-slug-exact,high,not_found_log,,,,215,yes,condition hub 'Metabolic Syndrome'
/secondary-topic/diabetes-type-ii,/explore-by-condition/type-2-diabetes,,,,hub-synonym,high,not_found_log,,,,203,yes,same topic as condition hub 'Type 2 Diabetes'
/secondary-topic/enteropathy,/explore-by-condition/gut-health,,,,curated-parent-hub,high,gsc+not_found_log,,50,,153,yes,intestinal disease -> Gut Health hub (parent topic)
/secondary-topic/testicular-injury,/explore-by-body-system/reproductive,,,,curated-parent-hub,high,gsc+not_found_log,,8,,190,yes,-> Reproductive hub (parent system)
/secondary-topic/muscular-dystrophy,/explore-by-body-system/musculoskeletal,,,,curated-parent-hub,high,gsc+not_found_log,,13,,173,yes,muscle disease -> Musculoskeletal hub (parent system)
/secondary-topic/polycystic-kidney-disease,/explore-by-condition/kidney-health,,,,curated-parent-hub,high,gsc+not_found_log,,47,,128,yes,kidney disease -> Kidney Health hub (parent topic)
/tertiary-topic/ventilator-induced-lung-injury,/explore-by-body-system/respiratory,,,,curated-parent-hub,high,gsc+not_found_log,,10,,159,yes,lung injury -> Respiratory hub (parent system)
/tools/hydrogen-research/condition/parkinsons-disease,/explore-by-condition/parkinsons-disease,,,,hub-slug-exact,high,not_found_log,,,,169,yes,condition hub 'Parkinson's Disease'
