article_id,handle,change_type,old_href,new_href_or_anchor,verified_live
gid://shopify/Article/675568124210,newsroom/the-ultimate-human-podcast-echo-founder-paul-barattiero-discusses-the-benefits-of-hydrogen-water-with-gary-brecka,repair_malformed,-%09https:/hydrogenstudies.com/study/molecular-hydrogen-mitigates-performance-decrement-during-repeated-sprints-in-professional-soccer-players,https://hydrogenstudies.com/study/molecular-hydrogen-mitigates-performance-decrement-during-repeated-sprints-in-professional-soccer-players-1775650467166,n/a (unpublished)
gid://shopify/Article/675568124210,newsroom/the-ultimate-human-podcast-echo-founder-paul-barattiero-discusses-the-benefits-of-hydrogen-water-with-gary-brecka,repair_redirect,https://hydrogenstudies.com/study/pilot-study-of-h-2-therapy-in-parkinsons-disease-a-randomized-double-blind-placebo-controlled-trial/,https://hydrogenstudies.com/study/pilot-study-of-h-2-therapy-in-parkinsons-disease-a-randomized-double-blind-placebo-controlled-trial-1775650467154,n/a (unpublished)
gid://shopify/Article/675862085938,blog/fresh-vs-packaged-hydrogen-water,repair_redirect,https://hydrogenstudies.com/study/hydrogen-vs-caffeine-for-improved-alertness-in-sleep-deprived-humans/,https://hydrogenstudies.com/study/hydrogen-vs-caffeine-for-improved-alertness-in-sleep-deprived-humans-1775650467137,yes
gid://shopify/Article/675862511922,blog/how-dragon-boat-athletes-improve-performance-with-hydrogen-rich-water,repair_redirect,https://hydrogenstudies.com/study/short-term-h2-inhalation-improves-running-performance-and-torso-strength-in-healthy-adults/,https://hydrogenstudies.com/study/short-term-h2-inhalation-improves-running-performance-and-torso-strength-in-healthy-adults-1775650467139,yes
gid://shopify/Article/675944431922,blog/how-hydrogen-therapy-and-hydrogen-rich-water-can-improve-reproductive-health,repair_redirect,https://hydrogenstudies.com/study/effects-of-hydrogen-gas-inhalation-on-endometriosis-in-rats/,https://hydrogenstudies.com/study/effects-of-hydrogen-gas-inhalation-on-endometriosis-in-rats-1775650467147,yes
gid://shopify/Article/675944431922,blog/how-hydrogen-therapy-and-hydrogen-rich-water-can-improve-reproductive-health,repair_redirect,https://hydrogenstudies.com/study/magnesium-based-micromotors-for-enhanced-active-and-synergistic-hydrogen-chemotherapy/,https://hydrogenstudies.com/study/magnesium-based-micromotors-for-enhanced-active-and-synergistic-hydrogen-chemotherapy-1775650467164,yes
gid://shopify/Article/675944431922,blog/how-hydrogen-therapy-and-hydrogen-rich-water-can-improve-reproductive-health,repair_redirect,https://hydrogenstudies.com/study/molecular-hydrogen-reduces-electromagnetic-pulse-induced-male-rat-reproductive-system-damage-in-a-rodent-model/,https://hydrogenstudies.com/study/molecular-hydrogen-reduces-electromagnetic-pulse-induced-male-rat-reproductive-system-damage-in-a-rodent-model-1775650467167,yes
gid://shopify/Article/675944431922,blog/how-hydrogen-therapy-and-hydrogen-rich-water-can-improve-reproductive-health,repair_redirect,https://hydrogenstudies.com/study/protective-effects-of-hydrogen-rich-saline-against-erectile-dysfunction-in-a-streptozotocin-induced-diabetic-rat-model/,https://hydrogenstudies.com/study/protective-effects-of-hydrogen-rich-saline-against-erectile-dysfunction-in-a-streptozotocin-induced-diabetic-rat-model-1775650467153,yes
gid://shopify/Article/676060856626,newsroom/gary-brecka-talks-about-echo-hydrogen-water-on-diary-of-a-ceo-podcast,repair_redirect,http://hydrogenstudies.com,https://hydrogenstudies.com/,n/a (unpublished)
gid://shopify/Article/676086186290,blog/is-stress-killing-you,repair_redirect,https://hydrogenstudies.com/study/alleviation-of-the-chronic-stress-response-attributed-to-the-antioxidant-and-anti-inflammatory-effects-of-electrolyzed-hydrogen-water/,https://hydrogenstudies.com/study/alleviation-of-the-chronic-stress-response-attributed-to-the-antioxidant-and-anti-inflammatory-effects-of-electrolyzed-hydrogen-water-1775650467133,yes
gid://shopify/Article/676086186290,blog/is-stress-killing-you,repair_redirect,https://hydrogenstudies.com/study/effects-of-alkaline-reduced-water-on-exercise-induced-oxidative-stress-and-fatigue-in-young-male-healthy-adults/,https://hydrogenstudies.com/study/effects-of-alkaline-reduced-water-on-exercise-induced-oxidative-stress-and-fatigue-in-young-male-healthy-adults-1775650467168,yes
gid://shopify/Article/676086186290,blog/is-stress-killing-you,repair_redirect,https://hydrogenstudies.com/study/drinking-molecular-hydrogen-water-is-beneficial-to-cardiovascular-function-in-diet-induced-obesity-mice/,https://hydrogenstudies.com/study/drinking-molecular-hydrogen-water-is-beneficial-to-cardiovascular-function-in-diet-induced-obesity-mice-1775650467133,yes
gid://shopify/Article/676096770354,blog/what-are-the-side-effects-of-drinking-hydrogen-water,repair_redirect,https://hydrogenstudies.com/study/different-effects-of-hydrogen-rich-water-intake-and-hydrogen-gas-inhalation-on-gut-microbiome-and-plasma-metabolites-of-rats-in-health-status/,https://hydrogenstudies.com/study/different-effects-of-hydrogen-rich-water-intake-and-hydrogen-gas-inhalation-on-gut-microbiome-and-plasma-metabolites-of-rats-in-health-status-1775650467166,yes
gid://shopify/Article/676096770354,blog/what-are-the-side-effects-of-drinking-hydrogen-water,repair_redirect,https://hydrogenstudies.com/study/two-weeks-of-hydrogen-inhalation-can-significantly-reverse-adaptive-and-innate-immune-system-senescence-patients-with-advanced-non-small-cell-lung-cancer-a-self-controlled-study/,https://hydrogenstudies.com/study/two-weeks-of-hydrogen-inhalation-can-significantly-reverse-adaptive-and-innate-immune-system-senescence-patients-with-advanced-non-small-cell-lung-cancer-a-self-controlled-study-1775650467134,yes
gid://shopify/Article/676096770354,blog/what-are-the-side-effects-of-drinking-hydrogen-water,repair_redirect,https://hydrogenstudies.com/study/hydrogen-inhalation-ameliorates-hepatic-inflammation-and-modulates-gut-microbiota-in-rats-with-high-fat-diet-induced-non-alcoholic-fatty-liver-disease/,https://hydrogenstudies.com/study/hydrogen-inhalation-ameliorates-hepatic-inflammation-and-modulates-gut-microbiota-in-rats-with-high-fat-diet-induced-non-alcoholic-fatty-liver-disease-1775650467168,yes
gid://shopify/Article/676096770354,blog/what-are-the-side-effects-of-drinking-hydrogen-water,repair_redirect,https://hydrogenstudies.com/study/molecular-hydrogen-improves-obesity-and-diabetes-by-inducing-hepatic-fgf21-and-stimulating-energy-metabolism-in-db-db-mice/,https://hydrogenstudies.com/study/molecular-hydrogen-improves-obesity-and-diabetes-by-inducing-hepatic-fgf21-and-stimulating-energy-metabolism-in-dbdb-mice-1775650467157,yes
gid://shopify/Article/676138877234,blog/a-health-hack-you-can-sink-your-teeth-into,repair_redirect,https://hydrogenstudies.com/study/revealing-the-antibacterial-power-of-hydrogen-releasing-pdh-nanohydride-against-drug-resistant-staphylococcus-aureus-an-in-depth-mechanism-study/,https://hydrogenstudies.com/study/revealing-the-antibacterial-power-of-hydrogen-releasing-pdh-nanohydride-against-drug-resistant-staphylococcus-aureus-an-in-depth-mechanism-study-1775650467169,yes
gid://shopify/Article/676138877234,blog/a-health-hack-you-can-sink-your-teeth-into,repair_redirect,https://hydrogenstudies.com/study/assessment-of-antibacterial-effect-of-hydrogen-water-on-plaque-from-patients-with-chronic-periodontitis/,https://hydrogenstudies.com/study/assessment-of-antibacterial-effect-of-hydrogen-water-on-plaque-from-patients-with-chronic-periodontitis-1775650467162,yes
gid://shopify/Article/676389224754,blog/test-featured-product-short-code-widget,repair_redirect,https://hydrogenstudies.com/study/revealing-the-antibacterial-power-of-hydrogen-releasing-pdh-nanohydride-against-drug-resistant-staphylococcus-aureus-an-in-depth-mechanism-study/,https://hydrogenstudies.com/study/revealing-the-antibacterial-power-of-hydrogen-releasing-pdh-nanohydride-against-drug-resistant-staphylococcus-aureus-an-in-depth-mechanism-study-1775650467169,n/a (unpublished)
gid://shopify/Article/676389224754,blog/test-featured-product-short-code-widget,repair_redirect,https://hydrogenstudies.com/study/assessment-of-antibacterial-effect-of-hydrogen-water-on-plaque-from-patients-with-chronic-periodontitis/,https://hydrogenstudies.com/study/assessment-of-antibacterial-effect-of-hydrogen-water-on-plaque-from-patients-with-chronic-periodontitis-1775650467162,n/a (unpublished)
gid://shopify/Article/677515166002,blog/10-natural-benefits-of-hydrogen-water-for-health-and-wellness,ok_no_change,https://hydrogenstudies.com/,https://hydrogenstudies.com/,yes
gid://shopify/Article/678706774322,newsroom/echo-launches-industry-s-first-smart-hydrogen-bottle-and-app-at-ces-2025,repair_tracker,https://cts.businesswire.com/ct/CT?id=smartlink&url=https%3A%2F%2Fhydrogenstudies.com%2F&esheet=54174288&newsitemid=20250107541276&lan=en-US&anchor=research&index=2&md5=52ca6d979ca1194e10a0e982d99a22cc,https://hydrogenstudies.com/,yes
gid://shopify/Article/678987366706,blog/does-hydrogen-water-work,repair_redirect,http://www.hydrogenstudies.com,https://hydrogenstudies.com/,yes
gid://shopify/Article/679011385650,newsroom/the-shawn-ryan-show-with-gary-brecka-and-the-power-of-hydrogen-water,repair_redirect,http://www.hydrogenstudies.com/,https://hydrogenstudies.com/,n/a (unpublished)
gid://shopify/Article/680362443058,blog/webinar-recap-how-the-echo-flask-helps-you-travel-smarter-recover-faster-and-stay-in-flow,ok_no_change,https://hydrogenstudies.com/,https://hydrogenstudies.com/,n/a (unpublished)
gid://shopify/Article/683001020722,blog/why-everyone-is-talking-about-hydrogen-water-just-ingredients-dr-paul-barattiero,repair_redirect,https://www.hydrogenstudies.com,https://hydrogenstudies.com/,yes
gid://shopify/Article/683024351538,blog/echo-ceo-josh-carr,repair_redirect,https://www.hydrogenstudies.com,https://hydrogenstudies.com/,yes
gid://shopify/Article/607006785842,blog/why-echo-hydrogen-water-ppm-is-better,new_link,,https://hydrogenstudies.com/blog/hydrogen-water-ppm-levels | anchor: what hydrogen water ppm numbers mean and what levels studies used,yes
gid://shopify/Article/676096770354,blog/what-are-the-side-effects-of-drinking-hydrogen-water,new_link,,https://hydrogenstudies.com/blog/hydrogen-water-side-effects | anchor: side effects reported in human hydrogen water trials,yes
gid://shopify/Article/679717896498,blog/how-much-hydrogen-water-a-day,new_link,,https://hydrogenstudies.com/blog/how-much-hydrogen-water-per-day | anchor: the doses used in human hydrogen water studies,yes
gid://shopify/Article/678987366706,blog/does-hydrogen-water-work,new_link,,https://hydrogenstudies.com/blog/hydrogen-water-real-or-fake | anchor: this review of the evidence on hydrogen water,yes
gid://shopify/Article/678697074994,blog/do-hydrogen-water-bottles-run-out-of-hydrogen,new_link,,https://hydrogenstudies.com/blog/hydrogen-water-ppm-levels | anchor: hydrogen water ppm levels and what makes them drop,yes
gid://shopify/Article/675579658546,blog/what-is-hydrogen-water,new_link,,https://hydrogenstudies.com/blog/what-is-hydrogen-water | anchor: what hydrogen water is and what studies show,yes
gid://shopify/Article/676159029554,blog/are-hydrogen-water-bottles-legit,new_link,,https://hydrogenstudies.com/blog/hydrogen-water-real-or-fake | anchor: what human trials of hydrogen water actually show,yes
gid://shopify/Article/607009538354,blog/hydrogen-water-harmful-the-shocking-truth-revealed,new_link,,https://hydrogenstudies.com/blog/hydrogen-water-side-effects | anchor: what human studies report about hydrogen water side effects,yes
